feature_set,model,accuracy,f1,roc_auc,pr_auc,train_seconds,inference_seconds,cv_best_roc_auc,best_params
raw,linear_svm,0.640825,0.6870275569110119,0.6822743973387794,0.6801854249695838,1.544885417002661,0.0008569589990656,0.6817659191838542,{'C': 10.0}
raw,rbf_svm,0.680175,0.7174378796245169,0.7390817690297709,0.7378656779534369,510.0655638340031,30.90407616700395,0.7301749875404541,"{'C': 10.0, 'gamma': 0.01}"
raw,knn,0.6571,0.703360872010035,0.7155378155059504,0.7149597880890781,18.789364082993416,4.977152583000134,0.7091802258725339,{'n_neighbors': 31}
raw,decision_tree,0.698325,0.7181858520750134,0.7633671930055239,0.7752246616546741,47.15264487499371,0.0052630419959314,0.7559258172534499,"{'max_depth': 12, 'min_samples_leaf': 50}"
raw,random_forest,0.72665,0.7446520317608594,0.8051769978451226,0.8204941487084174,256.22057316599967,0.405969624996942,0.8029448812382011,"{'max_depth': None, 'min_samples_leaf': 5}"
raw,gradient_boosting,0.729325,0.7462798490849014,0.8077857720655479,0.8224675759807663,2654.3807528749967,0.1970125000007101,0.8063227754218665,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}"
pca,linear_svm,0.555075,0.6426520490733489,0.5645847404431434,0.5792290812543717,0.3419545000069774,0.0007712910010013,0.5608937762964946,{'C': 1.0}
pca,rbf_svm,0.6157,0.6793759385950275,0.6573896293882968,0.6617468172453946,361.5281914579973,31.83570174999477,0.650007423478926,"{'C': 1.0, 'gamma': 'scale'}"
pca,knn,0.6183,0.6658934745503086,0.6594653619146312,0.65608408171484,12.582433957999456,3.4596159590000752,0.6573185692266311,{'n_neighbors': 31}
pca,decision_tree,0.6032,0.6563311969513251,0.6400344685079843,0.6442264811954757,22.6927425830072,0.0042140419973293,0.6373294640467028,"{'max_depth': 12, 'min_samples_leaf': 50}"
pca,random_forest,0.637625,0.6778817307051268,0.6872763313799799,0.693285413944708,171.91766120800455,0.3727010830043582,0.6844370702609472,"{'max_depth': None, 'min_samples_leaf': 5}"
pca,gradient_boosting,0.628925,0.6780190459662899,0.6756123969501528,0.6810366623634733,1263.7459522919962,0.157188249999308,0.6732773664553839,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}"
clusters,linear_svm,0.640975,0.6880010428208303,0.6859784890977949,0.6850254341609239,2.060390124999685,0.0015976670110831,0.6851355740198205,{'C': 10.0}
clusters,rbf_svm,0.680925,0.7178636956473683,0.7396538276302473,0.7382105906182785,533.2568313749944,31.266247250008742,0.7306356481770043,"{'C': 10.0, 'gamma': 0.01}"
clusters,knn,0.657275,0.7033775450591774,0.7156381661916055,0.7147069304009352,20.350631999986945,5.118323625007179,0.7090230302727706,{'n_neighbors': 31}
clusters,decision_tree,0.69835,0.7182026250642253,0.7634464896352761,0.7752028869474312,47.26284487500379,0.0060139580018585,0.7558301643661455,"{'max_depth': 12, 'min_samples_leaf': 50}"
clusters,random_forest,0.7256,0.7438625968449547,0.8043504684555656,0.8198275242305124,286.51310108299367,0.5249199580139248,0.8024374787559739,"{'max_depth': None, 'min_samples_leaf': 5}"
clusters,gradient_boosting,0.729275,0.7462329810418766,0.8077832740204375,0.8224891743057154,2590.909321875006,0.2019587920076446,0.8063455869820261,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}"
